         1539948 function calls (1534962 primitive calls) in 20.755 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      372   14.659    0.039   35.345    0.095 {built-in method time.sleep}
        1    0.000    0.000   20.758   20.758 /usr/lib/python3.13/curses/__init__.py:63(wrapper)
        1    0.000    0.000   20.755   20.755 /home/hawaf/.local/lib/python3.13/site-packages/lc3py/cli.py:315(cli_main)
        1    0.000    0.000   20.686   20.686 /usr/lib/python3.13/threading.py:1000(_bootstrap)
        1    0.000    0.000   20.686   20.686 /usr/lib/python3.13/threading.py:1027(_bootstrap_inner)
        1    0.000    0.000   20.686   20.686 /usr/lib/python3.13/threading.py:983(run)
        1    0.034    0.034   20.686   20.686 /home/hawaf/.local/lib/python3.13/site-packages/lc3py/cli.py:219(input_handler)
      226    3.935    0.017    3.935    0.017 {method 'getch' of '_curses.window' objects}
20106/20016    0.021    0.000    1.520    0.000 /usr/lib/python3.13/multiprocessing/managers.py:818(_callmethod)
29247/29122    0.029    0.000    1.380    0.000 /usr/lib/python3.13/multiprocessing/connection.py:429(_recv_bytes)
22392/21187    0.028    0.000    1.345    0.000 /usr/lib/python3.13/multiprocessing/connection.py:246(recv)
58494/58244    0.044    0.000    1.339    0.000 /usr/lib/python3.13/multiprocessing/connection.py:390(_recv)
58494/58244    1.263    0.000    1.261    0.000 {built-in method posix.read}
     2285    0.006    0.000    0.591    0.000 /usr/lib/python3.13/multiprocessing/connection.py:510(Client)
     6855    0.007    0.000    0.448    0.000 /usr/lib/python3.13/multiprocessing/connection.py:208(recv_bytes)
     2285    0.007    0.000    0.426    0.000 /usr/lib/python3.13/multiprocessing/connection.py:949(answer_challenge)
22392/21267    0.023    0.000    0.408    0.000 {built-in method _pickle.loads}
     1119    0.004    0.000    0.386    0.000 /usr/lib/python3.13/multiprocessing/managers.py:943(RebuildProxy)
     1130    0.009    0.000    0.384    0.000 /usr/lib/python3.13/multiprocessing/managers.py:765(__init__)
     1130    0.006    0.000    0.364    0.000 /usr/lib/python3.13/multiprocessing/managers.py:857(_incref)
     1133    0.003    0.000    0.359    0.000 /usr/lib/python3.13/multiprocessing/util.py:272(__call__)
     1130    0.002    0.000    0.348    0.000 /usr/lib/python3.13/multiprocessing/managers.py:877(_decref)
     9253    0.004    0.000    0.341    0.000 <string>:1(__getitem__)
     1119    0.001    0.000    0.324    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1067(__enter__)
22391/22379    0.027    0.000    0.226    0.000 /usr/lib/python3.13/multiprocessing/connection.py:202(send)
     7583    0.007    0.000    0.169    0.000 /usr/lib/python3.13/textwrap.py:373(wrap)
     7583    0.005    0.000    0.161    0.000 /usr/lib/python3.13/textwrap.py:347(wrap)
    22391    0.030    0.000    0.123    0.000 /usr/lib/python3.13/multiprocessing/reduction.py:48(dumps)
     2285    0.007    0.000    0.121    0.000 /usr/lib/python3.13/multiprocessing/connection.py:928(deliver_challenge)
     2285    0.002    0.000    0.117    0.000 /usr/lib/python3.13/multiprocessing/managers.py:85(dispatch)
     7583    0.057    0.000    0.097    0.000 /usr/lib/python3.13/textwrap.py:238(_wrap_chunks)
29246/29233    0.024    0.000    0.093    0.000 /usr/lib/python3.13/multiprocessing/connection.py:406(_send_bytes)
    22391    0.043    0.000    0.059    0.000 /usr/lib/python3.13/multiprocessing/reduction.py:38(__init__)
29246/29233    0.013    0.000    0.059    0.000 /usr/lib/python3.13/multiprocessing/connection.py:381(_send)
     7583    0.004    0.000    0.058    0.000 /usr/lib/python3.13/textwrap.py:341(_split_chunks)
      374    0.001    0.000    0.049    0.000 /home/hawaf/.local/lib/python3.13/site-packages/lc3py/cli.py:296(hotkey_str)
     1119    0.001    0.000    0.048    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1069(__exit__)
1097/1095    0.001    0.000    0.045    0.000 <string>:1(__setitem__)
29246/29233    0.044    0.000    0.043    0.000 {built-in method posix.write}
240426/238919    0.024    0.000    0.039    0.000 {built-in method builtins.len}
     7583    0.007    0.000    0.036    0.000 /usr/lib/python3.13/textwrap.py:157(_split)
     2285    0.009    0.000    0.036    0.000 /usr/lib/python3.13/multiprocessing/connection.py:640(SocketClient)
     6855    0.009    0.000    0.033    0.000 /usr/lib/python3.13/multiprocessing/connection.py:182(send_bytes)
     7583    0.029    0.000    0.029    0.000 {method 'split' of 're.Pattern' objects}
    22391    0.028    0.000    0.028    0.000 {method 'dump' of '_pickle.Pickler' objects}
     2285    0.006    0.000    0.027    0.000 /usr/lib/python3.13/multiprocessing/connection.py:875(_create_response)
      474    0.000    0.000    0.027    0.000 <string>:1(empty)
    18651    0.022    0.000    0.022    0.000 {method 'addstr' of '_curses.window' objects}
     2285    0.005    0.000    0.021    0.000 /usr/lib/python3.13/multiprocessing/connection.py:903(_verify_challenge)
     7583    0.004    0.000    0.019    0.000 /usr/lib/python3.13/textwrap.py:143(_munge_whitespace)
     4570    0.003    0.000    0.018    0.000 /usr/lib/python3.13/hmac.py:167(new)
        1    0.000    0.000    0.016    0.016 /usr/lib/python3.13/multiprocessing/context.py:49(Manager)
      373    0.000    0.000    0.015    0.000 <string>:1(__len__)
     4570    0.004    0.000    0.015    0.000 /usr/lib/python3.13/hmac.py:38(__init__)
     49/2    0.000    0.000    0.014    0.007 <frozen importlib._bootstrap>:1349(_find_and_load)
     49/2    0.000    0.000    0.014    0.007 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     47/2    0.000    0.000    0.014    0.007 <frozen importlib._bootstrap>:911(_load_unlocked)
      373    0.014    0.000    0.014    0.000 {method 'refresh' of '_curses.window' objects}
     28/2    0.000    0.000    0.014    0.007 <frozen importlib._bootstrap_external>:1020(exec_module)
    89/12    0.001    0.000    0.014    0.001 {built-in method builtins.exec}
    109/4    0.000    0.000    0.014    0.003 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.014    0.014 /usr/lib/python3.13/multiprocessing/managers.py:1(<module>)
     7583    0.013    0.000    0.013    0.000 {method 'translate' of 'str' objects}
    99400    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
    91243    0.012    0.000    0.012    0.000 {method 'pop' of 'list' objects}
    22396    0.012    0.000    0.012    0.000 {method 'update' of 'dict' objects}
    44783    0.012    0.000    0.012    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
    58494    0.011    0.000    0.011    0.000 {method 'write' of '_io.BytesIO' objects}
     21/8    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      6/3    0.000    0.000    0.011    0.004 {built-in method builtins.__import__}
     4570    0.007    0.000    0.010    0.000 /usr/lib/python3.13/multiprocessing/connection.py:849(_get_digest_name_and_payload)
       11    0.000    0.000    0.010    0.001 /usr/lib/python3.13/multiprocessing/managers.py:727(temp)
     4570    0.003    0.000    0.010    0.000 /usr/lib/python3.13/hmac.py:66(_init_hmac)
     2285    0.009    0.000    0.009    0.000 {method 'connect' of '_socket.socket' objects}
     2285    0.009    0.000    0.009    0.000 /usr/lib/python3.13/socket.py:221(__init__)
     2287    0.001    0.000    0.009    0.000 /usr/lib/python3.13/multiprocessing/connection.py:131(__del__)
      140    0.000    0.000    0.008    0.000 <string>:1(put)
     4570    0.003    0.000    0.008    0.000 /usr/lib/python3.13/hmac.py:151(digest)
     1865    0.008    0.000    0.008    0.000 {method 'noutrefresh' of '_curses.window' objects}
     2287    0.001    0.000    0.008    0.000 /usr/lib/python3.13/multiprocessing/connection.py:376(_close)
    58493    0.007    0.000    0.007    0.000 /usr/lib/python3.13/multiprocessing/connection.py:135(_check_closed)
     2295    0.007    0.000    0.007    0.000 {built-in method posix.close}
     4570    0.007    0.000    0.007    0.000 {built-in method _hashlib.hmac_new}
    36102    0.006    0.000    0.006    0.000 {method 'getvalue' of '_io.BytesIO' objects}
    29246    0.006    0.000    0.006    0.000 {built-in method _struct.pack}
    29247    0.006    0.000    0.006    0.000 {built-in method _struct.unpack}
     1134    0.001    0.000    0.005    0.000 /usr/lib/python3.13/multiprocessing/util.py:238(register_after_fork)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.13/multiprocessing/connection.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.13/multiprocessing/shared_memory.py:1(<module>)
      101    0.000    0.000    0.005    0.000 <string>:1(get)
    22394    0.004    0.000    0.004    0.000 {method 'copy' of 'dict' objects}
     4570    0.004    0.000    0.004    0.000 {method 'digest' of '_hashlib.HMAC' objects}
     4570    0.003    0.000    0.004    0.000 /usr/lib/python3.13/multiprocessing/connection.py:96(address_type)
     1865    0.004    0.000    0.004    0.000 {method 'erase' of '_curses.window' objects}
       11    0.000    0.000    0.004    0.000 /usr/lib/python3.13/multiprocessing/managers.py:604(_create)
